x,y
12957633.03349438,4866750.276448544
12962801.820090894,4850607.169514694
12958550.75137648,4850968.748120939
12958607.524316786,4866898.949241031
12952342.018096976,4865296.510547581
12967912.609232703,4853868.962331672
12964182.18177673,4855557.237433175
12977366.30566883,4839525.3276167195
12941123.017175848,4854422.254158061
12941238.232848817,4849435.611652237
12962993.512254039,4853100.326793835
12953179.14066774,4841536.312236976
12962312.014331402,4842988.056630838
12975696.179348458,4854639.979743286
12949430.67945426,4823647.674504391
12941827.446913589,4889826.1720546475
12966239.699925061,4853599.004257239
12968625.165293269,4844913.314447832
12958430.303687442,4863381.102428734
12970625.576542826,4855288.249628585
12968640.75002198,4871563.58155039
12943778.877587192,4854930.868568201
12964088.339445991,4847405.62497838
12952567.328746343,4864135.423697128
12960283.216611695,4873434.9063209295
12957384.56839093,4846515.804996338
12972159.559125956,4840509.462088154
12970305.533006793,4853584.345453385
12954641.099540327,4846751.922248914
12958554.870197639,4846072.592654298
12946192.618106063,4877189.527334533
12953591.913339602,4857707.8048854545
12958315.31065345,4845266.855335673
12984663.520929312,4891588.475794838
12959876.009914374,4843083.310292927
12987356.562050583,4851472.252270617
12950018.669004628,4859545.585597728
12952315.190099694,4870812.766158277
12963789.22397423,4864469.743502425
12966251.499791086,4850478.327666714
12958048.366514528,4866830.498441066
12959297.927798681,4860037.179879915
12961276.631747533,4875257.420929482
12983902.652209738,4914319.282924111
12966533.806019738,4860120.107045216
12954060.01179839,4844458.1381721115
12979212.205465164,4851306.107593007
12954862.736646498,4864310.936558407
12933030.53547314,4854051.696178626
12968053.539708046,4853899.5870709
12960730.832284173,4837825.134691819
12965831.491352322,4855232.072306769
13053713.442595506,4960412.9964907905
12988006.111279361,4854178.69745533
12977829.28343104,4853191.903928943
12968810.512245439,4853740.078207348
12954812.197597677,4842355.809989951
12945079.645837113,4853850.674617698
12969863.817267327,4857960.595733151
12961993.306629261,4850920.575573193
12969353.194763059,4854808.5026208665
12947093.526745053,4852791.496019033
12961454.965571783,4843542.918396192
12967253.82048619,4853079.863555664
12945478.503572624,4845289.6227551885
12976710.745187549,4847420.129630733
12983298.410013713,4855253.120620119
12950360.976438817,4849323.468520897
12933901.721808089,4893153.353639622
12963236.077424476,4849583.300137211
12959599.158340769,4848729.2615916245
12950167.057885855,4875057.860256042
12909995.415882269,4933421.871381209
12943997.397747621,4856175.661185667
12988970.583347594,4853541.675394917
12939513.337338977,4898301.276775524
12966474.695370125,4853232.540645818
12951230.270342423,4867713.709890598
12967711.78887131,4859851.431351544
12946850.071018688,4844084.906258222
12930655.422817577,4830064.479538502
12964701.37588179,4858021.725330183
12984233.382416887,4849766.100316777
12960996.329269717,4864695.245011207
12966056.690682199,4861608.556838098
13008959.667711888,4921766.411614671
12951483.85614245,4877364.1075335285
12972863.320946753,4828174.805442166
12965201.311714942,4852789.754519311
12960859.18365706,4863726.002613422
12951065.183537576,4876412.828223364
12960895.362491569,4859285.929073796
12968794.036960803,4860055.478984694
12985882.80331197,4851161.150443257
12948787.475436455,4849259.926143502
12948787.252797473,4867306.321201536
12968332.506351972,4853155.476156087
12958127.06939452,4862866.389520513
12965832.38190825,4849202.477220204
12944249.313755285,4867065.500293721
12958695.578034,4874851.758443762
12966428.052503483,4853444.289655029
12949022.804839995,4866935.136797451
12967169.106353695,4853836.0154426955
12952879.357279034,4865240.131274293
12958218.128737988,4864626.373517247
12953733.289092908,4847101.467289516
12941315.822533902,4844314.295777018
12969915.358191565,4854399.9012679495
12954194.151784793,4855175.604982903
12949229.413814904,4849360.462557717
12957941.277164385,4863655.2491553305
12986653.134188259,4881137.828656889
12957898.19652145,4861471.728662992
12972399.675267598,4832617.526969312
12948592.109730111,4849108.4706068905
12944983.020519106,4856462.239608377
12986447.749727746,4846840.250105936
12959764.69042358,4850957.140256768
12962157.502878182,4849986.190387575
12946417.260838483,4864157.507926197
12951691.355673289,4872628.5458232565
12978764.478473194,4856195.695274775
12963200.232548442,4854445.477993242
12933777.600575853,4855701.387698853
12957935.265911883,4876225.899992884
12926524.579153217,4826251.186040614
12968625.165293269,4844913.314447832
12955072.23992817,4858603.419128933
12951815.810863994,4847766.797114384
12950833.193718763,4858427.4262978295
12926377.63742537,4901147.858834062
12928258.04626385,4850998.783532376
12975406.080755452,4843625.128139585
12950823.842881536,4878937.359398924
12943575.830835987,4870923.262144613
12958694.464839093,4863362.797193601
12954862.736646498,4864310.936558407
12950636.937456494,4866908.977104891
12986597.585762352,4885017.963737154
12955645.201347284,4845343.423679604
12953193.278243072,4842334.064087323
12944716.744297126,4861779.812593203
12977541.299908359,4855649.417875624
12979781.15938261,4849135.01868081
12970625.576542826,4855288.249628585
12962157.502878182,4849986.190387575
12946899.830831073,4870478.232527863
12947385.851727875,4849532.813060676
12948678.048377004,4862934.086617538
12962163.959408648,4859493.740883613
12960076.830275767,4846832.418047524
12928776.683771456,4824949.345386451
12985355.816842554,4891379.844130411
12952327.32392419,4878619.138755459
12989664.883011673,4850627.91785122
12969721.662277585,4853812.5027517
12951606.530221302,4876407.009392581
12946807.769612186,4850202.658148156
12964225.485058649,4864571.305725632
12929158.064346915,4825803.374220146
12960098.314937485,4845860.565458407
12940107.33814185,4862641.510632279
12964159.583920099,4849391.073413782
12982400.729639957,4912466.045111007
12931669.098100737,4832053.2805282045
12929041.512840055,4827302.768876351
12957011.53677728,4855118.702502956
12929469.647601645,4828006.587940354
12956602.437648615,4838972.718593587
12965281.461748313,4855983.452122646
12958113.933694609,4876285.542080202
12950851.895393217,4854146.184973954
12953935.779246662,4861510.946736966
13006929.868116762,4920826.627569163
12953462.114813337,4837170.176994191
12982587.85770398,4847486.851303921
12973011.264550017,4830096.913478329
12955072.23992817,4858603.419128933
12958479.395582879,4865105.141996276
12926374.520479627,4826849.119963875
12985347.801839218,4847867.898651518
12954764.66417511,4855495.977832557
12950360.976438817,4849323.468520897
12919596.054046245,4813628.53546125
12962104.403481074,4858172.7359234
12948874.193319784,4849597.0825733235
12939983.99614605,4897007.448231263
12949780.445294332,4829174.469675765
12958887.60415562,4876899.294562479
12965222.573737683,4845921.475681469
12961873.192898696,4856254.636379866
12953260.40389602,4841739.984400036
12963802.804952106,4865120.834950417
12951032.121648809,4856265.524553301
12967305.361410426,4837510.691662755
12959461.456130657,4860469.251077196
12957942.056400822,4876937.118903058
12965056.039779454,4863958.75163356
12960159.540657423,4872974.785640412
12961338.748023398,4845627.659805686
12989975.464390984,4881261.684164692
12948228.762912164,4818286.34805114
12984812.02113003,4849369.892432246
12970127.087863054,4858308.357008935
12945758.806050444,4856774.08813391
12972390.769708334,4878534.310744292
12950103.494456613,4847679.621434533
12964043.922969162,4847115.246287507
12962006.664968157,4838826.346830912
12968625.165293269,4844913.314447832
12958490.41621247,4852018.300142134
12946790.403771624,4875260.039099138
12952446.101820868,4848657.309255687
12946984.767602548,4859703.154527317
12986763.006525671,4883487.708944003
12951767.164246518,4867497.877552344
12958428.077297624,4852651.306267551
12973860.075667314,4830062.307626656
12942239.885626975,4851182.3352402
12951688.016088566,4858934.648417301
12964605.863758689,4863316.888974614
12960976.069122393,4875597.934243943
13036128.636593366,4888553.988915899
12969807.823563457,4857922.698475901
12964667.312117606,4850406.797946958
12957581.047292178,4844580.956862335
12965308.623704067,4848783.371251639
